id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19640548,Modern Plateau Apartment,75116380,Syd,,Le Plateau-Mont-Royal,45.51402,-73.57609,Entire home/apt,100,1,8,2017-09-01,0.15,1,0,0,
19640778,Le cozy du Plateau,138222304,Chloe,,Le Plateau-Mont-Royal,45.529,-73.58807,Private room,70,5,1,2017-07-16,0.02,1,0,0,
19642899,Condo /Studio,70365264,Maggy,,Villeray-Saint-Michel-Parc-Extension,45.53347,-73.62464,Entire home/apt,100,2,3,2017-08-07,0.06,1,0,0,
19644194,Chambre avec sdb et balcon privé - métro vendome,138268625,Nastasia,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47257,-73.61274,Private room,26,7,1,2017-07-23,0.02,1,0,0,
19649494,Beautiful room in a charming appartment.,82880657,Wissal,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.48793,-73.62336,Private room,35,1,14,2019-01-20,0.26,2,0,0,
19651313,Appartement calme & à proximité de divers services,107059702,Cypril,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.50825,-73.62516,Entire home/apt,38,2,2,2017-08-05,0.04,1,0,0,
19651687,chambre privé dans un logement chaleureux,64815463,France,,Le Plateau-Mont-Royal,45.53223,-73.5799,Private room,40,5,7,2017-11-03,0.13,1,0,0,
19654823,Chambre à louer au Plateau 2 JUILLET 1er SEPTEMBRE,85272215,Alizée,,Le Plateau-Mont-Royal,45.518,-73.5815,Private room,40,1,3,2017-08-12,0.06,1,0,0,
19659809,"Charming family friendly, best location ever!",3021957,Amelie,,Outremont,45.51856,-73.59883,Entire home/apt,160,2,11,2019-08-12,0.21,1,0,0,
19662245,Charming apartment in plateau Mont-Royal,118091398,Osvaldo,,Le Plateau-Mont-Royal,45.53137,-73.56455,Private room,45,3,6,2019-01-02,0.11,1,0,0,
